Module.ID	Module.functional.association.title	Disease.Activity.Up..50.	Disease.Activity.Down..50.	Top.Literature.Lab.Annotations	Top.matched.pathway.in.KEGG	Top.GOTERM.Biological.Processes
M15.37	Inflammation	Staph, Burkholderia, SOJIA, TB		Free Radical Scavengers/Monokines/Cytosol		apoptosis
M15.7	Inflammation			Leupeptins/Leupeptins/Glycoproteins	Dilated cardiomyopathy	intracellular transport
M10.1	Interferon	HIV, Burkholderia, SOJIA, RSV, Influenza, SLE, TB, Transplant		RIG-I/Host-Pathogen Interactions/DEAD-box RNA Helicases	RIG-I-like receptor signaling pathway	response to virus
M13.17	Interferon	HIV, Burkholderia, SOJIA, RSV, Influenza, SLE, TB		STAT2 Transcription Factor/NLR Proteins/Inflammatory Bowel Diseases		positive regulation of I-kappaB kinase/NF-kappaB cascade
M15.127	Interferon	HIV, SOJIA, RSV, Influenza, SLE, TB, Transplant		2',5'-oligoadenylate/Orthomyxoviridae Infections/Double Stranded RNA		immune response
M15.64	Interferon	HIV, Burkholderia, SOJIA, Influenza, SLE, TB		Tripartite Motif Proteins/Systemic Lupus Erythematosus/Thymine		immune response
M15.86	Interferon	HIV, Burkholderia, SOJIA, RSV, Influenza, SLE, TB		Metallothionein/Cadmium/Cadmium		
M16.52	Lymphocyte			Chromosomes, Human, 6-12 and X/Chromosomes, Human, 6-12 and X/Carcinogenesis		negative regulation of macromolecule biosynthetic process
M12.2	Monocytes	MS, Staph, COPD		Acetaldehyde/Acetaldehyde/Aldehyde Dehydrogenase	Tryptophan metabolism	defense response
M14.65	Monocytes	Staph, Burkholderia, SOJIA, RSV, TB		rab5 GTP-Binding Proteins/Chloride Channels/methionyl-leucyl-phenylalanine		defense response
M15.61	Monocytes		Burkholderia	Amino Acid Motifs/Protein Isoforms/Galactosidases		regulation of angiogenesis
M15.35	Neutrophil	Burkholderia		HLA-B Antigens/HLA-A Antigens/Protein Sorting Signals	Viral myocarditis	actin cytoskeleton organization
M10.4	Neutrophil activation	HIV, Staph, Burkholderia, RSV, Transplant, Kawasaki, Pregnancy		Cathepsin G/Leukocyte Elastase/Pancreatic Elastase	Systemic lupus erythematosus	defense response to bacterium
M12.13	Oxidative phosphorylation	MS, HIV, RSV	Pregnancy	Point Mutation/Mutation/Protein Conformation	Oxidative phosphorylation	generation of precursor metabolites and energy
M10.3	Platelet	Staph, RSV	MS, HIV, Transplant	Adhesiveness/Cell Shape/Blood Platelets		
M16.109	Platelet	Staph	MS, HIV	Cardiomyopathy, Dilated/Thiazines/Furans	Hypertrophic cardiomyopathy (HCM)	regulation of muscle contraction
M16.64	Platelet/Prostaglandin	Staph	MS	Myosin Light Chains/Uterus/Phototransduction	Vascular smooth muscle contraction	regulation of muscle contraction
M15.102	Prostanoids			Dioxygenases/Myelin Proteins/Oligodendroglia		myelination
M8.2	Prostanoids	Staph, RSV	MS, HIV	Integrin beta3/Calmodulin-Binding Proteins/Platelet Glycoprotein GPIIb-IIIa Complex	ECM-receptor interaction	blood coagulation
M15.55	Protein phosphorylation	SOJIA		Amino Acids, Peptides, and Proteins/Biotransformation/Biotransformation	Endometrial cancer	peptidyl-serine phosphorylation
M10.2	Protein synthesis		MS	Hemoglobinopathies/Thalassemia/Globins	Ribosome	translational elongation
M13.10	Protein synthesis	MS, HIV	Pregnancy, Burkholderia	Lead/Lead/Bacterial Proteins	Valine, leucine and isoleucine biosynthesis	translation
M15.51	Protein Synthesis	MS	Influenza, Kawasaki, SOJIA, Pregnancy, Staph, Burkholderia	5' Untranslated Regions/5' Untranslated Regions/Shock	Ribosome	translational elongation
M13.14	Proteolysis	MS, HIV	Pregnancy, Staph, Burkholderia	Piperidones/Protein Transport/Apoptosis	Proteasome	proteasomal protein catabolic process
M12.6	T-cell		Kawasaki, TB, Transplant, Staph, Burkholderia	Protein Structure, Secondary/Pathological Conditions, Anatomical/SKP Cullin F-Box Protein Ligases		cell adhesion
M16.3	T-cell			T-Lymphocytes/Lymphocytes/Lymphocytes	Primary immunodeficiency	lymphocyte activation
M16.47	TNF			Cell Polarity/Cyclosporine/Cyclosporine	Apoptosis	cell adhesion
M8.3	Type 1 Interferon	HIV, SOJIA, RSV, Influenza, SLE, TB, Transplant		Transcriptome/Transcriptome/Orthomyxoviridae Infections		immune response
